date,week,bioassay,pot,plant,symptomatic_mean,assessment_SD,image_num,Leaf Score,LAD (%),Stem Score
2022-04-28,2022-W17,B001,109,1,33.845491076355415,5.609288683875143,2,5,40,7
2022-04-28,2022-W17,B001,109,2,17.66979032386869,5.1264321256934124,3,5,30,5
2022-04-28,2022-W17,B001,109,3,44.637106580325316,0.5480041679716944,3,5,50,9
2022-04-28,2022-W17,B001,109,4,24.72654047734952,12.722866259925844,3,7,40,5
2022-04-28,2022-W17,B001,109,5,29.19039670236866,3.8071135992742304,2,5,10,5
2022-04-28,2022-W17,B001,110,1,47.66382928556938,2.5231322626520423,3,5,20,7
2022-04-28,2022-W17,B001,110,2,41.94673507060025,17.04779779200409,3,5,50,5
2022-04-28,2022-W17,B001,110,3,58.007774723853544,27.249792953587985,3,5,80,9
2022-04-28,2022-W17,B001,111,1,17.36811608321856,6.457405768098611,3,7,20,3
2022-04-28,2022-W17,B001,111,2,23.326472807974454,2.9694662885274528,2,3,10,5
2022-04-28,2022-W17,B001,111,3,20.848138755324364,5.380761796378498,3,5,20,5
2022-04-28,2022-W17,B001,111,4,19.677816031416565,12.928103005410552,2,5,10,5
2022-04-28,2022-W17,B001,111,5,19.83536161892978,3.567130048348441,2,7,20,3
2022-04-28,2022-W17,B001,130,1,31.163153509996388,6.3032548379512345,3,5,20,5
2022-04-28,2022-W17,B001,130,2,15.26056124898044,1.8525139852413166,2,5,10,3
2022-04-28,2022-W17,B001,130,3,53.04333842354521,6.362287977167411,3,5,10,5
2022-04-28,2022-W17,B001,130,4,12.481392347917668,4.231920362884741,3,5,10,5
2022-04-28,2022-W17,B001,132,1,59.380754027334504,3.575069419770783,2,5,80,9
2022-04-28,2022-W17,B001,132,2,32.374293183600564,4.892322071040696,2,5,10,3
2022-04-28,2022-W17,B001,132,3,18.380827746448347,0.859672923037469,2,7,30,5
2022-04-28,2022-W17,B001,151,1,58.87601089044273,0.954979479176754,2,7,60,9
2022-04-28,2022-W17,B001,151,2,46.06320297433814,28.289968973184163,2,7,60,9
2022-04-28,2022-W17,B001,151,3,38.79350762626914,10.054981788108504,2,9,70,7
2022-04-28,2022-W17,B001,151,4,50.11236389015556,9.790347969527494,2,7,70,7
2022-04-28,2022-W17,B001,151,5,54.184606150221306,3.500684261219309,2,7,80,9
2022-04-28,2022-W17,B001,152,1,58.075509971905376,0.6117128246888197,2,7,80,9
2022-04-28,2022-W17,B001,152,2,80.643641593711,0.9599014904723432,3,9,90,9
2022-04-28,2022-W17,B001,152,3,46.44113314342427,7.426602372470122,2,7,70,7
2022-04-28,2022-W17,B001,152,4,37.72361336139056,1.9208006959248496,2,9,70,7
2022-04-28,2022-W17,B001,153,1,60.41366570531591,0.9486318606057476,2,7,60,5
2022-04-28,2022-W17,B001,153,2,31.683153320935077,5.118973750859177,2,7,60,5
2022-04-28,2022-W17,B001,153,3,21.715401647548035,4.348141472224608,2,9,50,7
2022-04-28,2022-W17,B001,153,4,47.09812872260741,4.444545591960372,2,9,70,7
2022-04-28,2022-W17,B001,25,1,24.67725290022233,0.9521180719239651,2,5,20,5
2022-04-28,2022-W17,B001,25,2,40.06489831505924,1.3801282549779808,2,5,30,5
2022-04-28,2022-W17,B001,25,3,28.33556319716519,11.69603152485572,2,5,20,5
